session,bbid,ward,alderperson,vote
2016-2017,223,18,Terry Kennedy,Aye
2016-2017,223,19,Marlene E Davis,Aye
2016-2017,223,20,Cara Spencer,Aye
2016-2017,223,21,Antonio D French,Aye
2016-2017,223,22,Jeffrey L Boyd,Aye
2016-2017,223,23,Joseph Vaccaro,Aye
2016-2017,223,24,Scott Ogilvie,Aye
2016-2017,223,25,Shane Cohn,Aye
2016-2017,223,26,Frank Williamson,Aye
2016-2017,223,28,Lyda Krewson,Aye
2016-2017,223,President,Lewis E Reed,Aye
2016-2017,223,16,Ward 16 Vacant,Absent
2016-2017,223,27,Chris Carter,Absent
2016-2017,224,1,Sharon Tyus,Aye
2016-2017,224,2,Dionne Flowers,Aye
2016-2017,224,3,Freeman M Bosley Sr.,Aye
2016-2017,224,4,Samuel L Moore,Aye
2016-2017,224,5,Tammika Hubbard,Aye
2016-2017,224,6,Christine Ingrassia,Aye
2016-2017,224,7,Jack Coatar,Aye
2016-2017,224,8,Stephen Conway,Aye
2016-2017,224,9,Kenneth Ortmann,Aye
2016-2017,224,10,Joseph Vollmer,Aye
2016-2017,224,11,Thomas A Villa,Aye
2016-2017,224,12,Larry Arnowitz,Aye
2016-2017,224,13,Beth Murphy,Aye
2016-2017,224,14,Carol Howard,Aye
2016-2017,224,15,Megan E. Green,Aye
2016-2017,224,17,Joseph D Roddy,Aye
2016-2017,224,18,Terry Kennedy,Aye
2016-2017,224,19,Marlene E Davis,Aye
2016-2017,224,20,Cara Spencer,Aye
2016-2017,224,21,Antonio D French,Aye
2016-2017,224,22,Jeffrey L Boyd,Aye
2016-2017,224,23,Joseph Vaccaro,Aye
2016-2017,224,24,Scott Ogilvie,Aye
2016-2017,224,25,Shane Cohn,Aye
2016-2017,224,26,Frank Williamson,Aye
2016-2017,224,28,Lyda Krewson,Aye
2016-2017,224,President,Lewis E Reed,Aye
2016-2017,224,16,Ward 16 Vacant,Absent
2016-2017,224,27,Chris Carter,Absent
2016-2017,253,1,Sharon Tyus,Aye
2016-2017,253,2,Dionne Flowers,Aye
2016-2017,253,3,Freeman M Bosley Sr.,Aye
2016-2017,253,4,Samuel L Moore,Aye
2016-2017,253,5,Tammika Hubbard,Aye
2016-2017,253,6,Christine Ingrassia,Aye
2016-2017,253,7,Jack Coatar,Aye
2016-2017,253,8,Stephen Conway,Aye
2016-2017,253,9,Kenneth Ortmann,Aye
2016-2017,253,10,Joseph Vollmer,Aye
2016-2017,253,11,Thomas A Villa,Aye
2016-2017,253,12,Larry Arnowitz,Aye
2016-2017,253,13,Beth Murphy,Aye
2016-2017,253,14,Carol Howard,Aye
2016-2017,253,15,Megan E. Green,Aye
2016-2017,253,17,Joseph D Roddy,Aye
2016-2017,253,18,Terry Kennedy,Aye
2016-2017,253,19,Marlene E Davis,Aye
2016-2017,253,20,Cara Spencer,Aye
2016-2017,253,21,Antonio D French,Aye
2016-2017,253,22,Jeffrey L Boyd,Aye
2016-2017,253,23,Joseph Vaccaro,Aye
2016-2017,253,24,Scott Ogilvie,Aye
2016-2017,253,25,Shane Cohn,Aye
2016-2017,253,26,Frank Williamson,Aye
2016-2017,253,28,Lyda Krewson,Aye
2016-2017,253,President,Lewis E Reed,Aye
2016-2017,253,16,Ward 16 Vacant,Absent
2016-2017,253,27,Chris Carter,Absent
2016-2017,254,1,Sharon Tyus,Aye
2016-2017,254,2,Dionne Flowers,Aye
2016-2017,254,3,Freeman M Bosley Sr.,Aye
2016-2017,254,4,Samuel L Moore,Aye
2016-2017,254,5,Tammika Hubbard,Aye
2016-2017,254,6,Christine Ingrassia,Aye
2016-2017,254,7,Jack Coatar,Aye
2016-2017,254,8,Stephen Conway,Aye
2016-2017,254,9,Kenneth Ortmann,Aye
2016-2017,254,10,Joseph Vollmer,Aye
2016-2017,254,11,Thomas A Villa,Aye
2016-2017,254,12,Larry Arnowitz,Aye
2016-2017,254,13,Beth Murphy,Aye
2016-2017,254,14,Carol Howard,Aye
2016-2017,254,15,Megan E. Green,Aye
2016-2017,254,17,Joseph D Roddy,Aye
2016-2017,254,18,Terry Kennedy,Aye
2016-2017,254,19,Marlene E Davis,Aye
2016-2017,254,20,Cara Spencer,Aye
2016-2017,254,21,Antonio D French,Aye
2016-2017,254,22,Jeffrey L Boyd,Aye
2016-2017,254,23,Joseph Vaccaro,Aye
2016-2017,254,24,Scott Ogilvie,Aye
2016-2017,254,25,Shane Cohn,Aye
2016-2017,254,26,Frank Williamson,Aye
2016-2017,254,28,Lyda Krewson,Aye
2016-2017,254,President,Lewis E Reed,Aye
2016-2017,254,16,Ward 16 Vacant,Absent
2016-2017,254,27,Chris Carter,Absent
2016-2017,255,1,Sharon Tyus,Aye
2016-2017,255,2,Dionne Flowers,Aye
2016-2017,255,3,Freeman M Bosley Sr.,Aye
2016-2017,255,4,Samuel L Moore,Aye
2016-2017,255,5,Tammika Hubbard,Aye
2016-2017,255,6,Christine Ingrassia,Aye
2016-2017,255,7,Jack Coatar,Aye
2016-2017,255,8,Stephen Conway,Aye
2016-2017,255,9,Kenneth Ortmann,Aye
2016-2017,255,10,Joseph Vollmer,Aye
2016-2017,255,11,Thomas A Villa,Aye
2016-2017,255,12,Larry Arnowitz,Aye
2016-2017,255,13,Beth Murphy,Aye
2016-2017,255,14,Carol Howard,Aye
2016-2017,255,15,Megan E. Green,Aye
2016-2017,255,17,Joseph D Roddy,Aye
2016-2017,255,18,Terry Kennedy,Aye
2016-2017,255,19,Marlene E Davis,Aye
2016-2017,255,20,Cara Spencer,Aye
2016-2017,255,21,Antonio D French,Aye
2016-2017,255,22,Jeffrey L Boyd,Aye
2016-2017,255,23,Joseph Vaccaro,Aye
2016-2017,255,24,Scott Ogilvie,Aye
2016-2017,255,25,Shane Cohn,Aye
2016-2017,255,26,Frank Williamson,Aye
2016-2017,255,28,Lyda Krewson,Aye
2016-2017,255,President,Lewis E Reed,Aye
2016-2017,255,16,Ward 16 Vacant,Absent
2016-2017,255,27,Chris Carter,Absent
2016-2017,256,1,Sharon Tyus,Aye
2016-2017,256,2,Dionne Flowers,Aye
2016-2017,256,3,Freeman M Bosley Sr.,Aye
2016-2017,256,4,Samuel L Moore,Aye
2016-2017,256,5,Tammika Hubbard,Aye
2016-2017,256,6,Christine Ingrassia,Aye
2016-2017,256,7,Jack Coatar,Aye
2016-2017,256,8,Stephen Conway,Aye
2016-2017,256,9,Kenneth Ortmann,Aye
2016-2017,256,10,Joseph Vollmer,Aye
2016-2017,256,11,Thomas A Villa,Aye
2016-2017,256,12,Larry Arnowitz,Aye
2016-2017,256,13,Beth Murphy,Aye
2016-2017,256,14,Carol Howard,Aye
2016-2017,256,15,Megan E. Green,Aye
2016-2017,256,17,Joseph D Roddy,Aye
2016-2017,256,18,Terry Kennedy,Aye
2016-2017,256,19,Marlene E Davis,Aye
2016-2017,256,20,Cara Spencer,Aye
2016-2017,256,21,Antonio D French,Aye
2016-2017,256,22,Jeffrey L Boyd,Aye
2016-2017,256,23,Joseph Vaccaro,Aye
2016-2017,256,24,Scott Ogilvie,Aye
2016-2017,256,25,Shane Cohn,Aye
2016-2017,256,26,Frank Williamson,Aye
2016-2017,256,28,Lyda Krewson,Aye
2016-2017,256,President,Lewis E Reed,Aye
2016-2017,256,16,Ward 16 Vacant,Absent
2016-2017,256,27,Chris Carter,Absent
2016-2017,257,1,Sharon Tyus,Aye
2016-2017,257,2,Dionne Flowers,Aye
2016-2017,257,3,Freeman M Bosley Sr.,Aye
2016-2017,257,4,Samuel L Moore,Aye
2016-2017,257,5,Tammika Hubbard,Aye
2016-2017,257,6,Christine Ingrassia,Aye
2016-2017,257,7,Jack Coatar,Aye
2016-2017,257,8,Stephen Conway,Aye
2016-2017,257,9,Kenneth Ortmann,Aye
2016-2017,257,10,Joseph Vollmer,Aye
2016-2017,257,11,Thomas A Villa,Aye
2016-2017,257,12,Larry Arnowitz,Aye
2016-2017,257,13,Beth Murphy,Aye
2016-2017,257,14,Carol Howard,Aye
2016-2017,257,15,Megan E. Green,Aye
2016-2017,257,17,Joseph D Roddy,Aye
2016-2017,257,18,Terry Kennedy,Aye
2016-2017,257,19,Marlene E Davis,Aye
2016-2017,257,20,Cara Spencer,Aye
2016-2017,257,21,Antonio D French,Aye
2016-2017,257,22,Jeffrey L Boyd,Aye
2016-2017,257,23,Joseph Vaccaro,Aye
2016-2017,257,24,Scott Ogilvie,Aye
2016-2017,257,25,Shane Cohn,Aye
2016-2017,257,26,Frank Williamson,Aye
2016-2017,257,28,Lyda Krewson,Aye
2016-2017,257,President,Lewis E Reed,Aye
2016-2017,257,16,Ward 16 Vacant,Absent
2016-2017,257,27,Chris Carter,Absent
2016-2017,258,1,Sharon Tyus,Aye
2016-2017,258,2,Dionne Flowers,Aye
2016-2017,258,3,Freeman M Bosley Sr.,Aye
2016-2017,258,4,Samuel L Moore,Aye
2016-2017,258,5,Tammika Hubbard,Aye
2016-2017,258,6,Christine Ingrassia,Aye
2016-2017,258,7,Jack Coatar,Aye
2016-2017,258,8,Stephen Conway,Aye
2016-2017,258,9,Kenneth Ortmann,Aye
2016-2017,258,10,Joseph Vollmer,Aye
2016-2017,258,11,Thomas A Villa,Aye
2016-2017,258,12,Larry Arnowitz,Aye
2016-2017,258,13,Beth Murphy,Aye
2016-2017,258,14,Carol Howard,Aye
2016-2017,258,15,Megan E. Green,Aye
2016-2017,258,17,Joseph D Roddy,Aye
2016-2017,258,18,Terry Kennedy,Aye
2016-2017,258,19,Marlene E Davis,Aye
2016-2017,258,20,Cara Spencer,Aye
2016-2017,258,21,Antonio D French,Aye
2016-2017,258,22,Jeffrey L Boyd,Aye
2016-2017,258,23,Joseph Vaccaro,Aye
2016-2017,258,24,Scott Ogilvie,Aye
2016-2017,258,25,Shane Cohn,Aye
2016-2017,258,26,Frank Williamson,Aye
2016-2017,258,28,Lyda Krewson,Aye
2016-2017,258,President,Lewis E Reed,Aye
2016-2017,258,16,Ward 16 Vacant,Absent
2016-2017,258,27,Chris Carter,Absent
2016-2017,262,1,Sharon Tyus,Aye
2016-2017,262,2,Dionne Flowers,Aye
2016-2017,262,3,Freeman M Bosley Sr.,Aye
2016-2017,262,4,Samuel L Moore,Aye
2016-2017,262,5,Tammika Hubbard,Aye
2016-2017,262,6,Christine Ingrassia,Aye
2016-2017,262,7,Jack Coatar,Aye
2016-2017,262,8,Stephen Conway,Aye
2016-2017,262,9,Kenneth Ortmann,Aye
2016-2017,262,10,Joseph Vollmer,Aye
2016-2017,262,11,Thomas A Villa,Aye
2016-2017,262,12,Larry Arnowitz,Aye
2016-2017,262,13,Beth Murphy,Aye
2016-2017,262,14,Carol Howard,Aye
2016-2017,262,15,Megan E. Green,Aye
2016-2017,262,17,Joseph D Roddy,Aye
2016-2017,262,18,Terry Kennedy,Aye
2016-2017,262,19,Marlene E Davis,Aye
2016-2017,262,20,Cara Spencer,Aye
2016-2017,262,21,Antonio D French,Aye
2016-2017,262,22,Jeffrey L Boyd,Aye
2016-2017,262,23,Joseph Vaccaro,Aye
2016-2017,262,24,Scott Ogilvie,Aye
2016-2017,262,25,Shane Cohn,Aye
2016-2017,262,26,Frank Williamson,Aye
2016-2017,262,28,Lyda Krewson,Aye
2016-2017,262,President,Lewis E Reed,Aye
2016-2017,262,16,Ward 16 Vacant,Absent
2016-2017,262,27,Chris Carter,Absent
2016-2017,264,1,Sharon Tyus,Aye
2016-2017,264,2,Dionne Flowers,Aye
2016-2017,264,3,Freeman M Bosley Sr.,Aye
2016-2017,264,4,Samuel L Moore,Aye
2016-2017,264,5,Tammika Hubbard,Aye
2016-2017,264,6,Christine Ingrassia,Aye
2016-2017,264,7,Jack Coatar,Aye
2016-2017,264,8,Stephen Conway,Aye
2016-2017,264,9,Kenneth Ortmann,Aye
2016-2017,264,10,Joseph Vollmer,Aye
2016-2017,264,11,Thomas A Villa,Aye
2016-2017,264,12,Larry Arnowitz,Aye
2016-2017,264,13,Beth Murphy,Aye
2016-2017,264,14,Carol Howard,Aye
2016-2017,264,15,Megan E. Green,Aye
2016-2017,264,17,Joseph D Roddy,Aye
2016-2017,264,18,Terry Kennedy,Aye
2016-2017,264,19,Marlene E Davis,Aye
2016-2017,264,20,Cara Spencer,Aye
2016-2017,264,21,Antonio D French,Aye
2016-2017,264,22,Jeffrey L Boyd,Aye
2016-2017,264,23,Joseph Vaccaro,Aye
2016-2017,264,24,Scott Ogilvie,Aye
2016-2017,264,25,Shane Cohn,Aye
2016-2017,264,26,Frank Williamson,Aye
2016-2017,264,28,Lyda Krewson,Aye
2016-2017,264,President,Lewis E Reed,Aye
2016-2017,264,16,Ward 16 Vacant,Absent
2016-2017,264,27,Chris Carter,Absent
2016-2017,265,1,Sharon Tyus,Aye
2016-2017,265,2,Dionne Flowers,Aye
2016-2017,265,3,Freeman M Bosley Sr.,Aye
2016-2017,265,4,Samuel L Moore,Aye
2016-2017,265,5,Tammika Hubbard,Aye
2016-2017,265,6,Christine Ingrassia,Aye
2016-2017,265,7,Jack Coatar,Aye
2016-2017,265,8,Stephen Conway,Aye
2016-2017,265,9,Kenneth Ortmann,Aye
2016-2017,265,10,Joseph Vollmer,Aye
2016-2017,265,11,Thomas A Villa,Aye
2016-2017,265,12,Larry Arnowitz,Aye
2016-2017,265,13,Beth Murphy,Aye
2016-2017,265,14,Carol Howard,Aye
2016-2017,265,15,Megan E. Green,Aye
2016-2017,265,17,Joseph D Roddy,Aye
2016-2017,265,18,Terry Kennedy,Aye
2016-2017,265,19,Marlene E Davis,Aye
2016-2017,265,20,Cara Spencer,Aye
2016-2017,265,21,Antonio D French,Aye
2016-2017,265,22,Jeffrey L Boyd,Aye
2016-2017,265,23,Joseph Vaccaro,Aye
2016-2017,265,24,Scott Ogilvie,Aye
2016-2017,265,25,Shane Cohn,Aye
2016-2017,265,26,Frank Williamson,Aye
2016-2017,265,28,Lyda Krewson,Aye
2016-2017,265,President,Lewis E Reed,Aye
2016-2017,265,16,Ward 16 Vacant,Absent
2016-2017,265,27,Chris Carter,Absent
2016-2017,267,1,Sharon Tyus,Aye
2016-2017,267,2,Dionne Flowers,Aye
2016-2017,267,3,Freeman M Bosley Sr.,Aye
2016-2017,267,4,Samuel L Moore,Aye
2016-2017,267,5,Tammika Hubbard,Aye
2016-2017,267,6,Christine Ingrassia,Aye
2016-2017,267,7,Jack Coatar,Aye
2016-2017,267,8,Stephen Conway,Aye
2016-2017,267,9,Kenneth Ortmann,Aye
2016-2017,267,10,Joseph Vollmer,Aye
2016-2017,267,11,Thomas A Villa,Aye
2016-2017,267,12,Larry Arnowitz,Aye
2016-2017,267,13,Beth Murphy,Aye
2016-2017,267,14,Carol Howard,Aye
2016-2017,267,15,Megan E. Green,Aye
2016-2017,267,17,Joseph D Roddy,Aye
2016-2017,267,18,Terry Kennedy,Aye
2016-2017,267,19,Marlene E Davis,Aye
2016-2017,267,20,Cara Spencer,Aye
2016-2017,267,21,Antonio D French,Aye
2016-2017,267,22,Jeffrey L Boyd,Aye
2016-2017,267,23,Joseph Vaccaro,Aye
2016-2017,267,24,Scott Ogilvie,Aye
2016-2017,267,25,Shane Cohn,Aye
2016-2017,267,26,Frank Williamson,Aye
2016-2017,267,28,Lyda Krewson,Aye
2016-2017,267,President,Lewis E Reed,Aye
2016-2017,267,16,Ward 16 Vacant,Absent
2016-2017,267,27,Chris Carter,Absent
2016-2017,268,1,Sharon Tyus,Aye
2016-2017,268,2,Dionne Flowers,Aye
2016-2017,268,3,Freeman M Bosley Sr.,Aye
2016-2017,268,4,Samuel L Moore,Aye
2016-2017,268,5,Tammika Hubbard,Aye
2016-2017,268,6,Christine Ingrassia,Aye
2016-2017,268,7,Jack Coatar,Aye
2016-2017,268,8,Stephen Conway,Aye
2016-2017,268,9,Kenneth Ortmann,Aye
2016-2017,268,10,Joseph Vollmer,Aye
2016-2017,268,11,Thomas A Villa,Aye
2016-2017,268,12,Larry Arnowitz,Aye
2016-2017,268,13,Beth Murphy,Aye
2016-2017,268,14,Carol Howard,Aye
2016-2017,268,15,Megan E. Green,Aye
2016-2017,268,17,Joseph D Roddy,Aye
2016-2017,268,18,Terry Kennedy,Aye
2016-2017,268,19,Marlene E Davis,Aye
2016-2017,268,20,Cara Spencer,Aye
2016-2017,268,21,Antonio D French,Aye
2016-2017,268,22,Jeffrey L Boyd,Aye
2016-2017,268,23,Joseph Vaccaro,Aye
2016-2017,268,24,Scott Ogilvie,Aye
2016-2017,268,25,Shane Cohn,Aye
2016-2017,268,26,Frank Williamson,Aye
2016-2017,268,28,Lyda Krewson,Aye
2016-2017,268,President,Lewis E Reed,Aye
2016-2017,268,16,Ward 16 Vacant,Absent
2016-2017,268,27,Chris Carter,Absent
2016-2017,271,1,Sharon Tyus,Aye
2016-2017,271,2,Dionne Flowers,Aye
2016-2017,271,3,Freeman M Bosley Sr.,Aye
2016-2017,271,4,Samuel L Moore,Aye
2016-2017,271,5,Tammika Hubbard,Aye
2016-2017,271,6,Christine Ingrassia,Aye
2016-2017,271,7,Jack Coatar,Aye
2016-2017,271,8,Stephen Conway,Aye
2016-2017,271,9,Kenneth Ortmann,Aye
2016-2017,271,10,Joseph Vollmer,Aye
2016-2017,271,11,Thomas A Villa,Aye
2016-2017,271,12,Larry Arnowitz,Aye
2016-2017,271,13,Beth Murphy,Aye
2016-2017,271,14,Carol Howard,Aye
2016-2017,271,15,Megan E. Green,Aye
2016-2017,271,17,Joseph D Roddy,Aye
2016-2017,271,18,Terry Kennedy,Aye
2016-2017,271,19,Marlene E Davis,Aye
2016-2017,271,20,Cara Spencer,Aye
2016-2017,271,21,Antonio D French,Aye
2016-2017,271,22,Jeffrey L Boyd,Aye
2016-2017,271,23,Joseph Vaccaro,Aye
2016-2017,271,24,Scott Ogilvie,Aye
2016-2017,271,25,Shane Cohn,Aye
2016-2017,271,26,Frank Williamson,Aye
2016-2017,271,28,Lyda Krewson,Aye
2016-2017,271,President,Lewis E Reed,Aye
2016-2017,271,16,Ward 16 Vacant,Absent
2016-2017,271,27,Chris Carter,Absent
2016-2017,272,1,Sharon Tyus,Aye
2016-2017,272,2,Dionne Flowers,Aye
2016-2017,272,3,Freeman M Bosley Sr.,Aye
2016-2017,272,4,Samuel L Moore,Aye
2016-2017,272,5,Tammika Hubbard,Aye
2016-2017,272,6,Christine Ingrassia,Aye
2016-2017,272,7,Jack Coatar,Aye
2016-2017,272,8,Stephen Conway,Aye
2016-2017,272,9,Kenneth Ortmann,Aye
2016-2017,272,10,Joseph Vollmer,Aye
2016-2017,272,11,Thomas A Villa,Aye
2016-2017,272,12,Larry Arnowitz,Aye
2016-2017,272,13,Beth Murphy,Aye
2016-2017,272,14,Carol Howard,Aye
2016-2017,272,15,Megan E. Green,Aye
2016-2017,272,17,Joseph D Roddy,Aye
2016-2017,272,18,Terry Kennedy,Aye
2016-2017,272,19,Marlene E Davis,Aye
2016-2017,272,20,Cara Spencer,Aye
2016-2017,272,21,Antonio D French,Aye
2016-2017,272,22,Jeffrey L Boyd,Aye
2016-2017,272,23,Joseph Vaccaro,Aye
2016-2017,272,24,Scott Ogilvie,Aye
2016-2017,272,25,Shane Cohn,Aye
2016-2017,272,26,Frank Williamson,Aye
2016-2017,272,28,Lyda Krewson,Aye
2016-2017,272,President,Lewis E Reed,Aye
2016-2017,272,16,Ward 16 Vacant,Absent
2016-2017,272,27,Chris Carter,Absent
2016-2017,273,1,Sharon Tyus,Aye
2016-2017,273,2,Dionne Flowers,Aye
2016-2017,273,3,Freeman M Bosley Sr.,Aye
2016-2017,273,4,Samuel L Moore,Aye
2016-2017,273,5,Tammika Hubbard,Aye
2016-2017,273,6,Christine Ingrassia,Aye
2016-2017,273,7,Jack Coatar,Aye
2016-2017,273,8,Stephen Conway,Aye
2016-2017,273,9,Kenneth Ortmann,Aye
2016-2017,273,10,Joseph Vollmer,Aye
2016-2017,273,11,Thomas A Villa,Aye
2016-2017,273,12,Larry Arnowitz,Aye
2016-2017,273,13,Beth Murphy,Aye
2016-2017,273,14,Carol Howard,Aye
2016-2017,273,15,Megan E. Green,Aye
2016-2017,273,17,Joseph D Roddy,Aye
2016-2017,273,18,Terry Kennedy,Aye
2016-2017,273,19,Marlene E Davis,Aye
2016-2017,273,20,Cara Spencer,Aye
2016-2017,273,21,Antonio D French,Aye
2016-2017,273,22,Jeffrey L Boyd,Aye
2016-2017,273,23,Joseph Vaccaro,Aye
2016-2017,273,24,Scott Ogilvie,Aye
2016-2017,273,25,Shane Cohn,Aye
2016-2017,273,26,Frank Williamson,Aye
2016-2017,273,28,Lyda Krewson,Aye
2016-2017,273,President,Lewis E Reed,Aye
2016-2017,273,16,Ward 16 Vacant,Absent
2016-2017,273,27,Chris Carter,Absent
2016-2017,274,1,Sharon Tyus,Aye
2016-2017,274,2,Dionne Flowers,Aye
2016-2017,274,3,Freeman M Bosley Sr.,Aye
2016-2017,274,4,Samuel L Moore,Aye
2016-2017,274,5,Tammika Hubbard,Aye
2016-2017,274,6,Christine Ingrassia,Aye
2016-2017,274,7,Jack Coatar,Aye
2016-2017,274,8,Stephen Conway,Aye
2016-2017,274,9,Kenneth Ortmann,Aye
2016-2017,274,10,Joseph Vollmer,Aye
2016-2017,274,11,Thomas A Villa,Aye
2016-2017,274,12,Larry Arnowitz,Aye
2016-2017,274,13,Beth Murphy,Aye
2016-2017,274,14,Carol Howard,Aye
2016-2017,274,15,Megan E. Green,Aye
2016-2017,274,17,Joseph D Roddy,Aye
2016-2017,274,18,Terry Kennedy,Aye
2016-2017,274,19,Marlene E Davis,Aye
2016-2017,274,20,Cara Spencer,Aye
2016-2017,274,21,Antonio D French,Aye
2016-2017,274,22,Jeffrey L Boyd,Aye
2016-2017,274,23,Joseph Vaccaro,Aye
2016-2017,274,24,Scott Ogilvie,Aye
2016-2017,274,25,Shane Cohn,Aye
2016-2017,274,26,Frank Williamson,Aye
2016-2017,274,28,Lyda Krewson,Aye
2016-2017,274,President,Lewis E Reed,Aye
2016-2017,274,16,Ward 16 Vacant,Absent
2016-2017,274,27,Chris Carter,Absent
2016-2017,278,1,Sharon Tyus,Aye
2016-2017,278,2,Dionne Flowers,Aye
2016-2017,278,3,Freeman M Bosley Sr.,Aye
2016-2017,278,4,Samuel L Moore,Aye
2016-2017,278,5,Tammika Hubbard,Aye
2016-2017,278,6,Christine Ingrassia,Aye
2016-2017,278,7,Jack Coatar,Aye
2016-2017,278,8,Stephen Conway,Aye
2016-2017,278,9,Kenneth Ortmann,Aye
2016-2017,278,10,Joseph Vollmer,Aye
2016-2017,278,11,Thomas A Villa,Aye
2016-2017,278,12,Larry Arnowitz,Aye
2016-2017,278,13,Beth Murphy,Aye
2016-2017,278,14,Carol Howard,Aye
2016-2017,278,15,Megan E. Green,Aye
2016-2017,278,17,Joseph D Roddy,Aye
2016-2017,278,18,Terry Kennedy,Aye
2016-2017,278,19,Marlene E Davis,Aye
2016-2017,278,20,Cara Spencer,Aye
2016-2017,278,21,Antonio D French,Aye
2016-2017,278,22,Jeffrey L Boyd,Aye
2016-2017,278,23,Joseph Vaccaro,Aye
2016-2017,278,24,Scott Ogilvie,Aye
2016-2017,278,25,Shane Cohn,Aye
2016-2017,278,26,Frank Williamson,Aye
2016-2017,278,28,Lyda Krewson,Aye
2016-2017,278,President,Lewis E Reed,Aye
2016-2017,278,16,Ward 16 Vacant,Absent
2016-2017,278,27,Chris Carter,Absent
2016-2017,279,1,Sharon Tyus,Aye
2016-2017,279,2,Dionne Flowers,Aye
2016-2017,279,3,Freeman M Bosley Sr.,Aye
2016-2017,279,4,Samuel L Moore,Aye
2016-2017,279,5,Tammika Hubbard,Aye
2016-2017,279,6,Christine Ingrassia,Aye
2016-2017,279,7,Jack Coatar,Aye
2016-2017,279,8,Stephen Conway,Aye
2016-2017,279,9,Kenneth Ortmann,Aye
2016-2017,279,10,Joseph Vollmer,Aye
2016-2017,279,11,Thomas A Villa,Aye
2016-2017,279,12,Larry Arnowitz,Aye
2016-2017,279,13,Beth Murphy,Aye
2016-2017,279,14,Carol Howard,Aye
2016-2017,279,15,Megan E. Green,Aye
2016-2017,279,17,Joseph D Roddy,Aye
2016-2017,279,18,Terry Kennedy,Aye
2016-2017,279,19,Marlene E Davis,Aye
2016-2017,279,20,Cara Spencer,Aye
2016-2017,279,21,Antonio D French,Aye
2016-2017,279,22,Jeffrey L Boyd,Aye
2016-2017,279,23,Joseph Vaccaro,Aye
2016-2017,279,24,Scott Ogilvie,Aye
2016-2017,279,25,Shane Cohn,Aye
2016-2017,279,26,Frank Williamson,Aye
2016-2017,279,28,Lyda Krewson,Aye
2016-2017,279,President,Lewis E Reed,Aye
2016-2017,279,16,Ward 16 Vacant,Absent
2016-2017,279,27,Chris Carter,Absent
2016-2017,286,1,Sharon Tyus,Aye
2016-2017,286,2,Dionne Flowers,Aye
2016-2017,286,3,Freeman M Bosley Sr.,Aye
2016-2017,286,4,Samuel L Moore,Aye
2016-2017,286,5,Tammika Hubbard,Aye
2016-2017,286,6,Christine Ingrassia,Aye
2016-2017,286,7,Jack Coatar,Aye
2016-2017,286,8,Stephen Conway,Aye
2016-2017,286,9,Kenneth Ortmann,Aye
2016-2017,286,10,Joseph Vollmer,Aye
2016-2017,286,11,Thomas A Villa,Aye
2016-2017,286,12,Larry Arnowitz,Aye
2016-2017,286,13,Beth Murphy,Aye
2016-2017,286,14,Carol Howard,Aye
2016-2017,286,15,Megan E. Green,Aye
2016-2017,286,17,Joseph D Roddy,Aye
2016-2017,286,18,Terry Kennedy,Aye
2016-2017,286,19,Marlene E Davis,Aye
2016-2017,286,20,Cara Spencer,Aye
2016-2017,286,21,Antonio D French,Aye
2016-2017,286,22,Jeffrey L Boyd,Aye
2016-2017,286,23,Joseph Vaccaro,Aye
2016-2017,286,24,Scott Ogilvie,Aye
2016-2017,286,25,Shane Cohn,Aye
2016-2017,286,26,Frank Williamson,Aye
2016-2017,286,28,Lyda Krewson,Aye
2016-2017,286,President,Lewis E Reed,Aye
2016-2017,286,16,Ward 16 Vacant,Absent
2016-2017,286,27,Chris Carter,Absent
2016-2017,288,1,Sharon Tyus,Aye
2016-2017,288,2,Dionne Flowers,Aye
2016-2017,288,3,Freeman M Bosley Sr.,Aye
2016-2017,288,4,Samuel L Moore,Aye
2016-2017,288,5,Tammika Hubbard,Aye
2016-2017,288,6,Christine Ingrassia,Aye
2016-2017,288,7,Jack Coatar,Aye
2016-2017,288,8,Stephen Conway,Aye
2016-2017,288,9,Kenneth Ortmann,Aye
2016-2017,288,10,Joseph Vollmer,Aye
2016-2017,288,11,Thomas A Villa,Aye
2016-2017,288,12,Larry Arnowitz,Aye
2016-2017,288,13,Beth Murphy,Aye
2016-2017,288,14,Carol Howard,Aye
2016-2017,288,15,Megan E. Green,Aye
2016-2017,288,17,Joseph D Roddy,Aye
2016-2017,288,18,Terry Kennedy,Aye
2016-2017,288,19,Marlene E Davis,Aye
2016-2017,288,20,Cara Spencer,Aye
2016-2017,288,21,Antonio D French,Aye
2016-2017,288,22,Jeffrey L Boyd,Aye
2016-2017,288,23,Joseph Vaccaro,Aye
2016-2017,288,24,Scott Ogilvie,Aye
2016-2017,288,25,Shane Cohn,Aye
2016-2017,288,26,Frank Williamson,Aye
2016-2017,288,28,Lyda Krewson,Aye
2016-2017,288,President,Lewis E Reed,Aye
2016-2017,288,16,Ward 16 Vacant,Absent
2016-2017,288,27,Chris Carter,Absent
2016-2017,293,1,Sharon Tyus,Aye
2016-2017,293,2,Dionne Flowers,Aye
2016-2017,293,3,Freeman M Bosley Sr.,Aye
2016-2017,293,4,Samuel L Moore,Aye
2016-2017,293,5,Tammika Hubbard,Aye
2016-2017,293,6,Christine Ingrassia,Aye
2016-2017,293,7,Jack Coatar,Aye
2016-2017,293,8,Stephen Conway,Aye
